,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,18.6780527248008,18.6780527248008,0,NaN,NaN,NaN,0,60,
,A02,SYBR,,Unkn,,,17.8633504891564,17.8633504891564,0,NaN,NaN,NaN,0,60,
,A03,SYBR,,Unkn,,,19.2917877825863,19.2917877825863,0,NaN,NaN,NaN,0,60,
,A04,SYBR,,Unkn,,,18.0524614329855,18.0524614329855,0,NaN,NaN,NaN,0,60,
,A05,SYBR,,Unkn,,,18.3735359675361,18.3735359675361,0,NaN,NaN,NaN,0,60,
,A06,SYBR,,Unkn,,,17.3336952634854,17.3336952634854,0,NaN,NaN,NaN,0,60,
,A07,SYBR,,Unkn,,,19.0118404494168,19.0118404494168,0,NaN,NaN,NaN,0,60,
,A08,SYBR,,Unkn,,,17.3750274851178,17.3750274851178,0,NaN,NaN,NaN,0,60,
,A09,SYBR,,Unkn,,,18.5644722148933,18.5644722148933,0,NaN,NaN,NaN,0,60,
,A10,SYBR,,Unkn,,,17.9316823745398,17.9316823745398,0,NaN,NaN,NaN,0,60,
,A11,SYBR,,Unkn,,,18.9534567215674,18.9534567215674,0,NaN,NaN,NaN,0,60,
,A12,SYBR,,Unkn,,,18.397279878953,18.397279878953,0,NaN,NaN,NaN,0,60,
,A13,SYBR,,Unkn,,,18.4319559810476,18.4319559810476,0,NaN,NaN,NaN,0,60,
,A14,SYBR,,Unkn,,,17.5921500941428,17.5921500941428,0,NaN,NaN,NaN,0,60,
,A15,SYBR,,Unkn,,,18.4519514798053,18.4519514798053,0,NaN,NaN,NaN,0,60,
,A16,SYBR,,Unkn,,,17.4849775951982,17.4849775951982,0,NaN,NaN,NaN,0,60,
,A17,SYBR,,Unkn,,,18.0849054318254,18.0849054318254,0,NaN,NaN,NaN,0,60,
,A18,SYBR,,Unkn,,,17.6275160332908,17.6275160332908,0,NaN,NaN,NaN,0,60,
,A19,SYBR,,Unkn,,,19.0483975383931,19.0483975383931,0,NaN,NaN,NaN,0,60,
,A20,SYBR,,Unkn,,,17.6482703504736,17.6482703504736,0,NaN,NaN,NaN,0,60,
,A21,SYBR,,Unkn,,,18.1539942623393,18.1539942623393,0,NaN,NaN,NaN,0,60,
,A22,SYBR,,Unkn,,,17.2626166770425,17.2626166770425,0,NaN,NaN,NaN,0,60,
,A23,SYBR,,Unkn,,,18.7031263802768,18.7031263802768,0,NaN,NaN,NaN,0,60,
,A24,SYBR,,Unkn,,,17.0792960828197,17.0792960828197,0,NaN,NaN,NaN,0,60,
,B01,SYBR,,Unkn,,,27.8230439957841,27.8230439957841,0,NaN,NaN,NaN,0,60,
,B02,SYBR,,Unkn,,,31.1525098881558,31.1525098881558,0,NaN,NaN,NaN,0,60,
,B03,SYBR,,Unkn,,,28.0189612428844,28.0189612428844,0,NaN,NaN,NaN,0,60,
,B04,SYBR,,Unkn,,,30.9910668120088,30.9910668120088,0,NaN,NaN,NaN,0,60,
,B05,SYBR,,Unkn,,,16.9564647652597,16.9564647652597,0,NaN,NaN,NaN,0,60,
,B06,SYBR,,Unkn,,,19.4572161913176,19.4572161913176,0,NaN,NaN,NaN,0,60,
,B07,SYBR,,Unkn,,,17.3110301505995,17.3110301505995,0,NaN,NaN,NaN,0,60,
,B08,SYBR,,Unkn,,,20.2828096219119,20.2828096219119,0,NaN,NaN,NaN,0,60,
,B09,SYBR,,Unkn,,,27.399158241032,27.399158241032,0,NaN,NaN,NaN,0,60,
,B10,SYBR,,Unkn,,,31.4367488373327,31.4367488373327,0,NaN,NaN,NaN,0,60,
,B11,SYBR,,Unkn,,,26.7750739801581,26.7750739801581,0,NaN,NaN,NaN,0,60,
,B12,SYBR,,Unkn,,,29.821340732145,29.821340732145,0,NaN,NaN,NaN,0,60,
,B13,SYBR,,Unkn,,,17.4763803753127,17.4763803753127,0,NaN,NaN,NaN,0,60,
,B14,SYBR,,Unkn,,,19.9665324980173,19.9665324980173,0,NaN,NaN,NaN,0,60,
,B15,SYBR,,Unkn,,,16.6643136334766,16.6643136334766,0,NaN,NaN,NaN,0,60,
,B16,SYBR,,Unkn,,,20.2192017395506,20.2192017395506,0,NaN,NaN,NaN,0,60,
,B17,SYBR,,Unkn,,,27.0239866666923,27.0239866666923,0,NaN,NaN,NaN,0,60,
,B18,SYBR,,Unkn,,,31.7479194892839,31.7479194892839,0,NaN,NaN,NaN,0,60,
,B19,SYBR,,Unkn,,,25.298820858365,25.298820858365,0,NaN,NaN,NaN,0,60,
,B20,SYBR,,Unkn,,,30.0745906248643,30.0745906248643,0,NaN,NaN,NaN,0,60,
,B21,SYBR,,Unkn,,,17.353716766066,17.353716766066,0,NaN,NaN,NaN,0,60,
,B22,SYBR,,Unkn,,,21.2058512499709,21.2058512499709,0,NaN,NaN,NaN,0,60,
,B23,SYBR,,Unkn,,,17.0170427062543,17.0170427062543,0,NaN,NaN,NaN,0,60,
,B24,SYBR,,Unkn,,,19.5996359932439,19.5996359932439,0,NaN,NaN,NaN,0,60,
,C01,SYBR,,Unkn,,,32.4608992508823,32.4608992508823,0,NaN,NaN,NaN,0,60,
,C02,SYBR,,Unkn,,,33.7277316464282,33.7277316464282,0,NaN,NaN,NaN,0,60,
,C03,SYBR,,Unkn,,,32.4669213107854,32.4669213107854,0,NaN,NaN,NaN,0,60,
,C04,SYBR,,Unkn,,,34.0391223113195,34.0391223113195,0,NaN,NaN,NaN,0,60,
,C05,SYBR,,Unkn,,,23.1406617551478,23.1406617551478,0,NaN,NaN,NaN,0,60,
,C06,SYBR,,Unkn,,,26.2375574195711,26.2375574195711,0,NaN,NaN,NaN,0,60,
,C07,SYBR,,Unkn,,,23.0951445778599,23.0951445778599,0,NaN,NaN,NaN,0,60,
,C08,SYBR,,Unkn,,,26.4178295366733,26.4178295366733,0,NaN,NaN,NaN,0,60,
,C09,SYBR,,Unkn,,,32.1896049223461,32.1896049223461,0,NaN,NaN,NaN,0,60,
,C10,SYBR,,Unkn,,,33.441007635317,33.441007635317,0,NaN,NaN,NaN,0,60,
,C11,SYBR,,Unkn,,,31.0542385659505,31.0542385659505,0,NaN,NaN,NaN,0,60,
,C12,SYBR,,Unkn,,,32.2419903924781,32.2419903924781,0,NaN,NaN,NaN,0,60,
,C13,SYBR,,Unkn,,,23.7757131309256,23.7757131309256,0,NaN,NaN,NaN,0,60,
,C14,SYBR,,Unkn,,,26.0004712397904,26.0004712397904,0,NaN,NaN,NaN,0,60,
,C15,SYBR,,Unkn,,,23.1300345705148,23.1300345705148,0,NaN,NaN,NaN,0,60,
,C16,SYBR,,Unkn,,,25.5354774514427,25.5354774514427,0,NaN,NaN,NaN,0,60,
,C17,SYBR,,Unkn,,,32.3313324758485,32.3313324758485,0,NaN,NaN,NaN,0,60,
,C18,SYBR,,Unkn,,,34.2144151319835,34.2144151319835,0,NaN,NaN,NaN,0,60,
,C19,SYBR,,Unkn,,,32.6405745119128,32.6405745119128,0,NaN,NaN,NaN,0,60,
,C20,SYBR,,Unkn,,,33.6050460716101,33.6050460716101,0,NaN,NaN,NaN,0,60,
,C21,SYBR,,Unkn,,,23.1620293597959,23.1620293597959,0,NaN,NaN,NaN,0,60,
,C22,SYBR,,Unkn,,,26.6038899695204,26.6038899695204,0,NaN,NaN,NaN,0,60,
,C23,SYBR,,Unkn,,,23.2654113690431,23.2654113690431,0,NaN,NaN,NaN,0,60,
,C24,SYBR,,Unkn,,,25.3531440863805,25.3531440863805,0,NaN,NaN,NaN,0,60,
,D01,SYBR,,Unkn,,,24.4570111112149,24.4570111112149,0,NaN,NaN,NaN,0,60,
,D02,SYBR,,Unkn,,,30.4193792462342,30.4193792462342,0,NaN,NaN,NaN,0,60,
,D03,SYBR,,Unkn,,,25.5481811975761,25.5481811975761,0,NaN,NaN,NaN,0,60,
,D04,SYBR,,Unkn,,,29.3291760976723,29.3291760976723,0,NaN,NaN,NaN,0,60,
,D05,SYBR,,Unkn,,,24.590639627324,24.590639627324,0,NaN,NaN,NaN,0,60,
,D06,SYBR,,Unkn,,,30.6717406684462,30.6717406684462,0,NaN,NaN,NaN,0,60,
,D07,SYBR,,Unkn,,,25.6283681877826,25.6283681877826,0,NaN,NaN,NaN,0,60,
,D08,SYBR,,Unkn,,,31.1598320115418,31.1598320115418,0,NaN,NaN,NaN,0,60,
,D09,SYBR,,Unkn,,,24.5862060006246,24.5862060006246,0,NaN,NaN,NaN,0,60,
,D10,SYBR,,Unkn,,,29.798038246036,29.798038246036,0,NaN,NaN,NaN,0,60,
,D11,SYBR,,Unkn,,,25.3682353179136,25.3682353179136,0,NaN,NaN,NaN,0,60,
,D12,SYBR,,Unkn,,,30.3507500948468,30.3507500948468,0,NaN,NaN,NaN,0,60,
,D13,SYBR,,Unkn,,,24.879137583248,24.879137583248,0,NaN,NaN,NaN,0,60,
,D14,SYBR,,Unkn,,,29.6639292846712,29.6639292846712,0,NaN,NaN,NaN,0,60,
,D15,SYBR,,Unkn,,,25.7272871634972,25.7272871634972,0,NaN,NaN,NaN,0,60,
,D16,SYBR,,Unkn,,,30.4693182702784,30.4693182702784,0,NaN,NaN,NaN,0,60,
,D17,SYBR,,Unkn,,,24.2204425703773,24.2204425703773,0,NaN,NaN,NaN,0,60,
,D18,SYBR,,Unkn,,,29.16946413863,29.16946413863,0,NaN,NaN,NaN,0,60,
,D19,SYBR,,Unkn,,,26.0268209410393,26.0268209410393,0,NaN,NaN,NaN,0,60,
,D20,SYBR,,Unkn,,,27.9971123952543,27.9971123952543,0,NaN,NaN,NaN,0,60,
